URL,HELP Cat,Include,Header,Notes
,,,1. Account Management SQL Commands ,
https://mariadb.com/kb/en/create-user/,10,1,1.1.1,
https://mariadb.com/kb/en/alter-user/,10,1,1.1.2,
https://mariadb.com/kb/en/drop-user/,10,1,1.1.3,
https://mariadb.com/kb/en/grant/,10,1,1.1.4,
https://mariadb.com/kb/en/rename-user/,10,1,1.1.5,
https://mariadb.com/kb/en/revoke/,10,1,1.1.6,
https://mariadb.com/kb/en/set-password/,10,1,1.1.7,
https://mariadb.com/kb/en/create-role/,10,1,1.1.8,
https://mariadb.com/kb/en/drop-role/,10,1,1.1.9,
https://mariadb.com/kb/en/set-role/,10,1,1.1.10,
https://mariadb.com/kb/en/set-default-role/,10,1,1.1.11,
https://mariadb.com/kb/en/show-grants/,26,1,1.1.12,
https://mariadb.com/kb/en/show-create-user/,26,1,1.1.13,
,,,2. Administrative SQL Statements ,
,,,2.1 Table Statements,
,,,2.1.1 ALTER,
https://mariadb.com/kb/en/alter-table/,39,1,2.1.1.1,
https://mariadb.com/kb/en/alter-database/,39,1,2.1.1.2,
https://mariadb.com/kb/en/alter-event/,39,1,2.1.1.3,
https://mariadb.com/kb/en/alter-function/,39,1,2.1.1.4,
https://mariadb.com/kb/en/alter-logfile-group/,39,1,2.1.1.5,
https://mariadb.com/kb/en/alter-procedure/,39,1,2.1.1.6,
https://mariadb.com/kb/en/alter-sequence/,TBC,1,2.1.1.7,
https://mariadb.com/kb/en/alter-server/,39,1,2.1.1.8,
https://mariadb.com/kb/en/alter-tablespace/,39,1,2.1.1.9,
https://mariadb.com/kb/en/alter-user/,10,0,,Already above
https://mariadb.com/kb/en/alter-view/,39,1,2.1.1.10,
https://mariadb.com/kb/en/analyze-table/,20,1,2.1.2,
https://mariadb.com/kb/en/check-table/,20,1,2.1.3,
https://mariadb.com/kb/en/check-view/,20,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://mariadb.com/kb/en/library/polygon-properties-area/,2,1,,
https://mariadb.com/kb/en/library/centroid/,2,1,,
https://mariadb.com/kb/en/library/polygon-properties-exteriorring/,2,1,,
https://mariadb.com/kb/en/library/polygon-properties-interiorringn/,2,1,,
https://mariadb.com/kb/en/library/polygon-properties-numinteriorrings/,2,1,,
https://mariadb.com/kb/en/library/st_area/,2,1,,
https://mariadb.com/kb/en/library/st_centroid/,2,1,,
https://mariadb.com/kb/en/library/st_exteriorring/,2,1,,
https://mariadb.com/kb/en/library/st_interiorringn/,2,1,,
https://mariadb.com/kb/en/library/st_numinteriorrings/,2,1,,
https://mariadb.com/kb/en/library/wkt-definition/,3,1,,
https://mariadb.com/kb/en/library/wkt-astext/,3,1,,
https://mariadb.com/kb/en/library/wkt-aswkt/,3,1,,
https://mariadb.com/kb/en/library/wkt-geomcollfromtext/,3,1,,
