URL,HELP Cat,Include,Header,Depth,Notes
https://mariadb.com/kb/en/plugin-sql-statements/,,1,Plugin SQL Statements,1.1.2.6,Category
https://mariadb.com/kb/en/show-plugins/,26,1,,1.1.2.6.1,
https://mariadb.com/kb/en/show-plugins-soname/,26,1,,1.1.2.6.2,
https://mariadb.com/kb/en/install-plugin/,5,1,,1.1.2.6.3,
https://mariadb.com/kb/en/uninstall-plugin/,5,1,,1.1.2.6.4,
https://mariadb.com/kb/en/install-soname/,5,1,,1.1.2.6.5,
https://mariadb.com/kb/en/uninstall-soname/,5,1,,1.1.2.6.6,
https://mariadb.com/kb/en/mysql_plugin/,TBC,1,,1.1.2.6.7,
https://mariadb.com/kb/en/set-commands/,,1,SET Commands,1.1.2.7,Category
https://mariadb.com/kb/en/set/,26,1,,1.1.2.7.1,
https://mariadb.com/kb/en/set-character-set/,TBC,1,,1.1.2.7.2,
https://mariadb.com/kb/en/set-global-sql_slave_skip_counter/,TBC,1,,1.1.2.7.3,
https://mariadb.com/kb/en/set-names/,TBC,1,,1.1.2.7.4,
https://mariadb.com/kb/en/set-password/,,3,SET PASSWORD,1.1.2.7.5,
https://mariadb.com/kb/en/set-role/,TBC,3,SET ROLE,1.1.2.7.6,
https://mariadb.com/kb/en/set-sql_log_bin/,TBC,1,,1.1.2.7.7,
https://mariadb.com/kb/en/set-statement/,TBC,1,,1.1.2.7.8,
https://mariadb.com/kb/en/set-transaction/,8,1,,1.1.2.7.9,
https://mariadb.com/kb/en/set-variable/,TBC,1,,1.1.2.7.10,
https://mariadb.com/kb/en/show/,,1,SHOW,1.1.2.8,Category
https://mariadb.com/kb/en/about-show/,26,1,,1.1.2.8.1,
https://mariadb.com/kb/en/extended-show/,TBC,1,,1.1.2.8.2,
https://mariadb.com/kb/en/show-authors/,26,1,,1.1.2.8.3,
https://mariadb.com/kb/en/show-binary-logs/,26,1,,1.1.2.8.4,
https://mariadb.com/kb/en/show-binlog-events/,26,1,,1.1.2.8.5,
https://mariadb.com/kb/en/show-character-set/,26,1,,1.1.2.8.6,
https://mariadb.com/kb/en/show-client-statistics/,26,1,,1.1.2.8.7,
https://mariadb.com/kb/en/show-columns/,26,3,SHOW COLUMNS,1.1.2.8.8,Already above
https://mariadb.com/kb/en/show-contributors/,26,1,,1.1.2.8.9,
https://mariadb.com/kb/en/show-create-database/,26,1,,1.1.2.8.10,
https://mariadb.com/kb/en/show-create-event/,26,1,,1.1.2.8.11,
https://mariadb.com/kb/en/show-create-function/,26,1,,1.1.2.8.12,
https://mariadb.com/kb/en/show-create-package/,26,1,,1.1.2.8.13,
https://mariadb.com/kb/en/show-create-package-body/,26,1,,1.1.2.8.14,
https://mariadb.com/kb/en/show-create-procedure/,26,1,,1.1.2.8.15,
https://mariadb.com/kb/en/show-create-sequence/,26,1,,1.1.2.8.16,
https://mariadb.com/kb/en/show-create-table/,26,3,SHOW CREATE TABLE,1.1.2.8.17,Already above
https://mariadb.com/kb/en/show-create-trigger/,26,1,,1.1.2.8.18,
https://mariadb.com/kb/en/show-create-user/,,3,SHOW CREATE USER,1.1.2.8.19,Already above
https://mariadb.com/kb/en/show-create-view/,26,1,,1.1.2.8.20,
https://mariadb.com/kb/en/show-databases/,26,1,,1.1.2.8.21,
https://mariadb.com/kb/en/show-engine/,26,1,,1.1.2.8.22,
https://mariadb.com/kb/en/show-engine-innodb-status/,26,1,,1.1.2.8.23,
https://mariadb.com/kb/en/show-engines/,26,1,,1.1.2.8.24,
https://mariadb.com/kb/en/show-errors/,26,1,,1.1.2.8.25,
https://mariadb.com/kb/en/show-events/,26,1,,1.1.2.8.26,
https://mariadb.com/kb/en/show-function-status/,26,1,,1.1.2.8.27,
https://mariadb.com/kb/en/show-grants/,,3,SHOW GRANTS,1.1.2.8.28,Already above
https://mariadb.com/kb/en/show-index/,,3,SHOW INDEX,1.1.2.8.29,Already above
https://mariadb.com/kb/en/show-index-statistics/,TBC,1,,1.1.2.8.30,
https://mariadb.com/kb/en/show-innodb-status-removed/,,0,,1.1.2.8.31,
https://mariadb.com/kb/en/show-locales/,26,1,,1.1.2.8.32,
https://mariadb.com/kb/en/show-binlog-status/,26,3,SHOW BINLOG STATUS,1.1.2.8.33,Already above
https://mariadb.com/kb/en/show-open-tables/,26,1,,1.1.2.8.34,
https://mariadb.com/kb/en/show-package-body-status/,26,1,,1.1.2.8.35,
https://mariadb.com/kb/en/show-package-status/,26,1,,1.1.2.8.36,
https://mariadb.com/kb/en/show-plugins/,26,3,SHOW PLUGINS,1.1.2.8.37,Already above
https://mariadb.com/kb/en/show-plugins-soname/,26,3,SHOW PLUGINS SONAME,1.1.2.8.38,Already above
https://mariadb.com/kb/en/show-privileges/,26,1,,1.1.2.8.39,
https://mariadb.com/kb/en/show-procedure-code/,26,1,,1.1.2.8.40,
https://mariadb.com/kb/en/show-procedure-status/,26,1,,1.1.2.8.41,
https://mariadb.com/kb/en/show-processlist/,26,1,,1.1.2.8.42,
https://mariadb.com/kb/en/show-profiles/,26,1,,1.1.2.8.43,
https://mariadb.com/kb/en/show-query_response_time/,26,1,,1.1.2.8.44,
https://mariadb.com/kb/en/show-relaylog-events/,26,3,SHOW RELAYLOG EVENTS,1.1.2.8.45,Already above
https://mariadb.com/kb/en/show-replica-hosts/,26,3,SHOW REPLICA HOSTS,1.1.2.8.46,Already above
https://mariadb.com/kb/en/show-replica-status/,26,3,SHOW REPLICA STATUS,1.1.2.8.47,Already above
https://mariadb.com/kb/en/show-status/,26,1,,1.1.2.8.48,
https://mariadb.com/kb/en/show-table-status/,26,1,,1.1.2.8.49,
https://mariadb.com/kb/en/show-tables/,26,1,,1.1.2.8.50,
https://mariadb.com/kb/en/show-table-statistics/,26,1,,1.1.2.8.51,
https://mariadb.com/kb/en/show-triggers/,26,1,,1.1.2.8.52,
https://mariadb.com/kb/en/show-user-statistics/,26,1,,1.1.2.8.53,
https://mariadb.com/kb/en/show-variables/,26,1,,1.1.2.8.54,
https://mariadb.com/kb/en/show-warnings/,26,1,,1.1.2.8.55,
https://mariadb.com/kb/en/show-wsrep_membership/,26,1,,1.1.2.8.56,
https://mariadb.com/kb/en/show-wsrep_status/,26,1,,1.1.2.8.57,
